Product Code,Description,Manufacturer_SKU,Unit Qty,Weight per piece,product_line,category,color
FTACFB,"1"" Fortress Accents Forstner Bit",52501040,8,0.24255,Accents,Hardware,
FTACLEDADP,Fortress Accents LED Adapter Non-PNP to PNP,52502500,100,0.1,Accents,Lighting,
FTACLEDCLK,Fortress Accents LED Cap Light Kit PNP,52500000P,32,0.378984375,Accents,Lighting,
FTACLEDCLM,Fortress Accents LED Cap Light Lit Module PNP,52500010P,36,0.11,Accents,Lighting,
FTACLEDFF8,Fortress Accents LED Female to Female Connector PNP (8pcs),52502200,100,0.1,Accents,Lighting,
FTACLEDFS,Fortress Accents LED Female 6-Way Splitter PNP,52502400,100,0.1,Accents,Lighting,
FTACLEDFT8,Fortress Accents LED Female T-Splice PNP (8pcs),52502300,100,0.1,Accents,Lighting,
FTACLEDGR2,"2"" Fortress Accents LED Glow Ring PNP",52502020P,16,0.4,Accents,Lighting,
FTACLEDGR3,"3"" Fortress Accents LED Glow Ring PNP",52503030P,16,0.53,Accents,Lighting,
FTACLEDSC,Fortress Accents LED Smart Controler w/ Remote,52506101,100,1.19,Accents,Lighting,
FTACLEDSM6BS,Fortress Accents LED Surface Mount Light (6pcs) Black Sand,52504008P,16,1.03,Accents,Lighting,BKSND
FTACLEDT60,Fortress Accents LED Transformer 60 Watt,52506100,24,1.19,Accents,Lighting,
FTACLEDT601,Fortress Accents LED Transformer 60 Watt (Type 1 Plug),52506110,24,1.19,Accents,Lighting,
FTACLEDVPL2BS,Fortress Accents LED Vertical Post Light PNP (2pcs) Black Sand,52500068P,16,0.49,Accents,Lighting,BKSND
FTACLEDW10,10' Fortress Accents LED Light Wire PNP,52502110,100,0.1,Accents,Lighting,
FTACLEDW15,15' Fortress Accents LED Light Wire PNP,52502115,100,0.1,Accents,Lighting,
FTACLEDW20,20' Fortress Accents LED Light Wire PNP,52502120,100,0.1,Accents,Lighting,
FTACLEDW5,5' Fortress Accents LED Light Wire PNP,52502105,100,0.1,Accents,Lighting,
